cycle,wave,measure,variable,label,value,n,coding
2015,4,salience,mii_catW4,Immigration,26.31,28126,manual
2015,4,salience,mii_catW4,Economy-general,19.53,28126,manual
2015,4,salience,mii_catW4,Health,11.34,28126,manual
2015,4,salience,mii_catW4,Terrorism,6.65,28126,manual
2015,4,salience,mii_catW4,Debt/deficit,3.77,28126,manual
2015,4,salience,mii_catW4,Inequality,2.89,28126,manual
2015,4,salience,mii_catW4,Unemployment,2.87,28126,manual
2015,4,salience,mii_catW4,Housing,2.4,28126,manual
2015,4,salience,mii_catW4,Election outcome,2.33,28126,manual
2015,4,salience,mii_catW4,Living costs,2.31,28126,manual
2015,4,salience,mii_catW4,Austerity,2.26,28126,manual
2015,4,salience,mii_catW4,Welfare,1.97,28126,manual
2015,4,salience,mii_catW4,Pol-neg,1.76,28126,manual
2015,4,salience,mii_catW4,Europe,1.62,28126,manual
2015,4,salience,mii_catW4,Poverty,1.56,28126,manual
2015,4,salience,mii_catW4,Defence,1.37,28126,manual
2015,4,salience,mii_catW4,Environment,1.36,28126,manual
2015,4,salience,mii_catW4,Partisan-neg,1.35,28126,manual
2015,4,salience,mii_catW4,Crime,1.03,28126,manual
2015,4,salience,mii_catW4,Education,0.83,28126,manual
2015,4,salience,mii_catW4,Uncoded,0.5,28126,manual
2015,4,salience,mii_catW4,Taxation,0.45,28126,manual
2015,4,salience,mii_catW4,Foreign affairs,0.43,28126,manual
2015,4,salience,mii_catW4,Pensions/ageing,0.37,28126,manual
2015,4,salience,mii_catW4,Morals,0.32,28126,manual
2015,4,salience,mii_catW4,Scot-ind,0.3,28126,manual
2015,4,salience,mii_catW4,Racism/discrimination,0.27,28126,manual
2015,4,salience,mii_catW4,"Nat ident, goals-loss",0.25,28126,manual
2015,4,salience,mii_catW4,War,0.25,28126,manual
2015,4,salience,mii_catW4,Pol values-left,0.23,28126,manual
2015,4,salience,mii_catW4,Societal divides,0.17,28126,manual
2015,4,salience,mii_catW4,Social care,0.15,28126,manual
2015,4,salience,mii_catW4,Pol values-liberal,0.14,28126,manual
2015,4,salience,mii_catW4,Inflation,0.11,28126,manual
2015,4,salience,mii_catW4,Transport/infrastructure,0.1,28126,manual
2015,4,salience,mii_catW4,Constitutional,0.09,28126,manual
2015,4,salience,mii_catW4,Gender/sexuality/family,0.09,28126,manual
2015,4,salience,mii_catW4,Devolution,0.07,28126,manual
2015,4,salience,mii_catW4,Economy-personal,0.06,28126,manual
2015,4,salience,mii_catW4,Pol values-right,0.05,28126,manual
2015,4,salience,mii_catW4,Asylum,0.03,28126,manual
2015,4,salience,mii_catW4,International trade,0.03,28126,manual
2015,4,salience,mii_catW4,Pol values-auth,0.02,28126,manual
2015,4,salience,mii_catW4,Other,0.01,28126,manual
2015,4,salience,mii_catW4,Referendum unspecified,0.01,28126,manual
2015,4,left_right,leftRightW4,,5.192,26135,
2015,4,lr_scale,lr_scaleW1_W5,,3.01,28734,
2015,4,al_scale,al_scaleW1_W5,,6.774,28278,
2015,4,economic,redistSelfW4,,4.481,27514,
2015,4,europe,EUIntegrationSelfW4,,6.552,13847,
2017,11,salience,mii_catW11,Europe,44.36,27583,manual
2017,11,salience,mii_catW11,Health,10.9,27583,manual
2017,11,salience,mii_catW11,Immigration,10.69,27583,manual
2017,11,salience,mii_catW11,Terrorism,5.62,27583,manual
2017,11,salience,mii_catW11,Economy-general,5.46,27583,manual
2017,11,salience,mii_catW11,Election outcome,4.67,27583,manual
2017,11,salience,mii_catW11,Partisan-neg,2.08,27583,manual
2017,11,salience,mii_catW11,Housing,1.82,27583,manual
2017,11,salience,mii_catW11,Pol-neg,1.69,27583,manual
2017,11,salience,mii_catW11,Inequality,1.13,27583,manual
2017,11,salience,mii_catW11,Austerity,1.11,27583,manual
2017,11,salience,mii_catW11,Environment,0.84,27583,manual
2017,11,salience,mii_catW11,Poverty,0.83,27583,manual
2017,11,salience,mii_catW11,Unemployment,0.82,27583,manual
2017,11,salience,mii_catW11,War,0.79,27583,manual
2017,11,salience,mii_catW11,Crime,0.78,27583,manual
