"text","text_en","cmp_code","eu_code"
"Believe In Britain",NA,NA,NA
"May 7th presents the people of Britain with an incredible opportunity. For the first time in 100 years, there is real change on the horizon. All you Now, there is something to vote for, if you believe in Britain. have to do is vote for it. If you believe that we are big enough to make our own laws, in our own Political party manifestos are usually filled with arbitrary, over-ambitious parliament; if you believe we should have the sovereign right to control our targets and pledges to some special interest group here or there. UKIP is own borders; if you believe that we should be fiscally responsible, and stop different. adding to our national debts and expecting our children and grandchildren to pay the bill, then we are the party for you. In this document, which should inform your choice at this election, you will find serious, fully-costed policies that reflect what our party is all about: If you believe in these things and that in this year, the 800th anniversary  believing in our country. of Magna Carta, you believe we should seize the opportunity for real change in our politics; rebalance power from large corporations and big On the major issues of the day - immigration, the economy, our health government institutions and put it back into the hands of the people of this service and living standards – the establishment parties have repeatedly country, then there really is only one choice. and knowingly raised the expectations of the public, only to let us down, time and time again. If you believe in Britain, vote UKIP on May 7th. In many ways, this is where UKIP came from: a feeling that successive governments were no longer representing the will of the British people.",NA,NA,NA
"CONTENTSINTRODUCTION TO OUR MANIFESTO 5 ECONOMY 6 IMMIGRATION  10 THE NHS 14 SOCIAL CARE  18 PENSIONS  20 WELFARE AND DISABILITY  22 CHILDCARE AND THE FAMILY  24 EDUCATION  28 HOUSING AND THE ENVIRONMENT  32 TRANSPORT  36 ENERGY  38 EMPLOYMENT  40 SMALL BUSINESS 42 FARMING AND THE COUNTRYSIDE 46 FISHING  48 HERITAGE AND TOURISM  50 CRIME AND JUSTICE  52 POLITICAL REFORM  56 LOCAL GOVERNMENT  58 BRITISH CULTURE  60 TRADE  62 DEFENCE  64 HONOURING THE MILITARY COVENANT  66 FOREIGN AFFAIRS 67 OVERSEAS AID  68 BREXIT  70 FINANCE  72",NA,NA,NA
"Published and Promoted by Paul Oakden, on behalf of the UK Independence Party, 1 King Charles Business Park, Old Newton Road, Heathfield, Newton Abbot, Devon, TQ12 6UT.",NA,NA,NA
"INTRODUCTION TO OUR MANIFESTO",NA,NA,NA
"If only all politicians could believe in Britain as UKIP does.",NA,"601",NA
"If only they could share our positive vision of Britain as a proud, independent sovereign nation,",NA,"601",NA
"a country respected on the world stage,",NA,"601",NA
"a major player in global trade,",NA,"601",NA
"with influence and authority when it comes to tackling the pressing international issues of the day.",NA,"601",NA
"This manifesto is our blueprint for a Britain released from the shackles of the interfering EU.",NA,"110",NA
"This makes it markedly different to those of the other main parties.",NA,"110",NA
"While we see a free, prosperous, healthy, international future for Britain, their cowardice binds our country to a failing super-state that tells us what to do and does not listen to what we want.",NA,"110",NA
"Our manifesto also throws down the gauntlet to those who have ridiculed us, jeered at us and lied about our voters, our people and our policies.",NA,"305",NA
"It tells the truth about what UKIP stands for.",NA,"305",NA
"It takes care of Britain’s finances too.",NA,"408",NA
"Taxpayers could get so much better value for their money if we left the EU,",NA,"110",NA
"made reasonable cuts to the foreign aid budget,",NA,"109",NA
"replaced the unfair Barnett formula,",NA,"404",NA
"scrapped HS2,",NA,"404",NA
"ended ‘health tourism’",NA,"404",NA
"and cut the cost of government.",NA,"303",NA
"These are our plans and they give us a budget to invest in Britain the other parties can only dream of.",NA,"404",NA
"Without adding a penny to our burgeoning national debt, without cutting vital services and without raising taxes, we can, over the course of the next parliament:",NA,"404",NA
"Invest an extra £12 billion into the NHS;",NA,"504",NA
"put £5.2 billion more into social care;",NA,"504",NA
"build a dedicated military hospital",NA,"504",NA
"and abolish hospital parking charges",NA,"504",NA
"End income tax on the minimum wage;",NA,"503",NA
"cut income taxes for middle earners;",NA,"503",NA
"scrap inheritance tax;",NA,"503",NA
"abolish the ‘bedroom tax’",NA,"503",NA
"and increase the transferable personal tax allowance for married couples and civil partners",NA,"503",NA
"Fund 6,000 additional posts spread between the police service, the prison service and the Border Agency",NA,"605",NA
"Cut business rates for small businesses",NA,"402",NA
"Waive tuition fees for students taking a degree in science; technology; engineering; maths or medicine",NA,"506",NA
