"text","text_en","cmp_code","eu_code"
"The Conservative and Unionist Party Manifesto 2024",NA,NA,NA
"CLEAR PLAN BOLD ACTION SECURE FUTURE",NA,NA,NA
"Contents",NA,NA,NA
"Foreword ...........................................................................................................................................................................................3",NA,NA,NA
"Bold actions to deliver a secure future for our country and for your family ...................4",NA,NA,NA
"Our plan for a secure, dynamic and growing economy .......................................................................5",NA,NA,NA
"Our plan to cut taxes and protect pensions ..................................................................................................13",NA,NA,NA
"Our plan to support families ........................................................................................................................................17",NA,NA,NA
"Our plan to get more people into work and build a fairer welfare system .....................21",NA,NA,NA
"Our plan to give young people the opportunities and skills they need ...........................25",NA,NA,NA
"Our plan to secure our nation from global uncertainty ...................................................................29",NA,NA,NA
"Our plan to control immigration and stop illegal immigration ...................................................35",NA,NA,NA
"Our plan to deliver better health and social care ...................................................................................39",NA,NA,NA
"Our plan for safer streets and justice for victims of crime .............................................................43",NA,NA,NA
"Our plan for an affordable and pragmatic transition to net zero ............................................47",NA,NA,NA
"Our plan to build more houses in the right places .................................................................................51",NA,NA,NA
"Our plan to strengthen communities ................................................................................................................55",NA,NA,NA
"Our plan to back farmers and fisheries to grow our food security .........................................61",NA,NA,NA
"Our plan to support our rural way of life and enhance our environment ......................65",NA,NA,NA
"Our plan to support sport and the creative sector ...............................................................................69",NA,NA,NA
"Our plan to strengthen the United Kingdom ...............................................................................................71",NA,NA,NA
"We are restoring our economic stability after Covid and Ukraine.",NA,NA,NA
"Inflation is down, real wages are up, growth has returned – and we are cutting taxes to give working people financial security.",NA,NA,NA
"This did not happen by accident.",NA,NA,NA
"The economy is turning a corner because we built strong economic foundations before the pandemic and we have stuck to our plan.",NA,NA,NA
"We must stick to this plan and take bold action to secure the future of our nation and society.",NA,NA,NA
"In the next decade, we’ll face challenges to our energy and national security from foreign conflicts; to our border from uncontrolled and illegal migration; to our economy from global shocks and to our society from those seeking to divide and disempower communities.",NA,NA,NA
"Dealing with these challenges requires a clear plan and bold action.",NA,NA,NA
"We have that plan and the courage to take the bold steps necessary to build a secure future for you and your family.",NA,NA,NA
"A future where hard work and doing the right thing is always rewarded, not punished with higher taxes and hidden green levies, or discouraged with unconstrained welfare.",NA,NA,NA
"A future where aspiration and opportunity are celebrated and young people always get the skills they need to succeed.",NA,NA,NA
"A future where public services, like the NHS, serve citizens not vested interests, and every citizen upholds British values of decency, democracy and service.",NA,NA,NA
"A future, where national, border, energy and food security are put first, not taken for granted, and immigration is never allowed to run out of control.",NA,NA,NA
"A future where family is always supported and communities decide their own priorities, rather than having them imposed from above.",NA,NA,NA
"A future where we can have pride – in ourselves, in our communities and in our country.",NA,NA,NA
"There is only one way to secure that future – and that is to vote Conservative on 4 July.",NA,NA,NA
"We must stick with the plan – a plan that has given four million more people the security and purpose of a job, cut taxes for 29 million working people, protected pensioners with the Triple Lock, delivered more than 2.5 million homes, recruited record numbers of police officers to cut crime by more than 50%, recruited record numbers of teachers to help our children become the best readers in the West, delivered the largest sustained increase in defence spending since the end of the Cold War and got Brexit done.",NA,NA,NA
"The alternative is we go back to square one.",NA,NA,NA
"To a fragile economy under Labour driven by unfunded spending, higher taxes on working families and debt piling up for future generations to pay off.",NA,NA,NA
"And where immigration, crime and defence are not taken seriously.",NA,NA,NA
"On 4 July, choose lower immigration, lower taxes and protected pensions.",NA,NA,NA
"Choose a secure future with the Conservatives.",NA,NA,NA
"The Rt Hon Rishi Sunak Prime Minister and Leader of the Conservative and Unionist Party",NA,NA,NA
"Bold actions to deliver a secure future for our country and for your family",NA,"H",NA
"To support working people and secure a stronger economy",NA,"H",NA
"Cut tax for workers by taking another 2p off employee National Insurance so that we will have halved it from 12% at the beginning of this year to 6% by April 2027, a total tax cut of £1,350 for the average worker on £35,000 –",NA,"701",NA
