election,party_key,party_name,ches_party,vote_share,seats
1997,lab,Labour,LAB,43.2,418
1997,con,Conservative,CONS,30.7,165
1997,ld,Liberal Democrats,LibDem,16.8,46
1997,referendum,Referendum Party,,2.6,0
1997,snp,Scottish National Party,SNP,2.0,6
2001,lab,Labour,LAB,40.7,412
2001,con,Conservative,CONS,31.7,166
2001,ld,Liberal Democrats,LibDem,18.3,52
2001,snp,Scottish National Party,SNP,1.8,5
2001,ukip,UK Independence Party,UKIP,1.5,0
2005,lab,Labour,LAB,36.2,355
2005,con,Conservative,CONS,32.4,198
2005,ld,Liberal Democrats,LibDem,21.99,62
2005,ukip,UK Independence Party,UKIP,2.2,0
2005,green,Green Party,GREEN,1.04,0
2010,con,Conservative,CONS,36.05,306
2010,lab,Labour,LAB,28.99,258
2010,ld,Liberal Democrats,LibDem,23.03,57
2010,ukip,UK Independence Party,UKIP,3.1,0
2010,bnp,British National Party,BNP,1.9,0
2015,con,Conservative,CONS,36.81,330
2015,lab,Labour,LAB,30.45,232
2015,ukip,UK Independence Party,UKIP,12.64,1
2015,ld,Liberal Democrats,LibDem,7.87,8
2015,snp,Scottish National Party,SNP,4.74,56
2017,con,Conservative,CONS,42.34,317
2017,lab,Labour,LAB,39.99,262
2017,ld,Liberal Democrats,LibDem,7.37,12
2017,snp,Scottish National Party,SNP,3.04,35
2017,ukip,UK Independence Party,UKIP,1.84,0
2019,con,Conservative,CONS,43.63,365
2019,lab,Labour,LAB,32.08,202
2019,ld,Liberal Democrats,LibDem,11.55,11
2019,snp,Scottish National Party,SNP,3.88,48
2019,green,Green Party,GREEN,2.61,1
2024,lab,Labour,LAB,33.7,411
2024,con,Conservative,CONS,23.7,121
2024,reform,Reform UK,REF UK,14.29,5
2024,ld,Liberal Democrats,LibDem,12.22,72
2024,green,Green Party,GREEN,6.4,4
